"file","file_year","file_month","img","img_year","img_month"
"Result_mask_crop02/mono_all/combined/_Trim1947_UM441img_mono_1.png","1947",NA,"mask_crop_02/Trim1947_UM441img.png","1947",NA
"Result_mask_crop02/mono_all/combined/_Trim1966img_mono_1.png","1966",NA,"mask_crop_02/Trim1966img.png","1966",NA
"Result_mask_crop02/mono_all/combined/_Trim1974_c_mono_1.png","1974",NA,"mask_crop_02/Trim1974img.png","1974",NA
"Result_mask_crop02/mono_all/combined/_Trim1975img_mono_1.png","1975",NA,"mask_crop_02/Trim1975img.png","1975",NA
"Result_mask_crop02/mono_all/combined/_Trim1980img_c_mono_1.png","1980",NA,"mask_crop_02/Trim1980img.png","1980",NA
"Result_mask_crop02/mono_all/combined/_Trim1989img_mono_1.png","1989",NA,"mask_crop_02/Trim1989img.png","1989",NA
"Result_mask_crop02/mono_all/combined/_Trim1999_c_mono_1.png","1999",NA,"mask_crop_02/Trim1999img.png","1999",NA
"Result_mask_crop02/mono_all/combined/_Trim2010_c_mono_1.png","2010",NA,"mask_crop_02/Trim2010img.png","2010",NA
"Result_mask_crop02/mono_all/combined/_Trim201911_c_mono_1.png","2019","11","mask_crop_02/Trim201911_img.png","2019","11"
"Result_mask_crop02/mono_all/combined/_Trim202302_c_mono_1.png","2023","02","mask_crop_02/Trim202302_img.png","2023","02"
"Result_mask_crop02/mono_all/combined/_Trim2025_c_mono_1.png","2025",NA,"mask_crop_02/Trim2025img.png","2025",NA
